posemo,anx,anger,sad,affiliation
35.29,2.94,0,5.88,0
55.32,0,0,6.38,14.63
36.36,3.03,0,3.03,0
17.86,3.57,3.57,10.71,0
47.37,0,0,0,3.03
44.19,6.98,2.33,0,0
34.88,11.63,11.63,16.28,0
66.67,0,0,0,8.11
58.82,2.94,0,8.82,3.33
65,7.5,0,7.5,2.86
51.28,20.51,0,0,0
25,30.56,2.78,13.89,0
30.43,8.7,0,36.96,12.5
8.62,15.52,5.17,53.45,1.89
18.18,9.09,13.64,4.55,0
44.44,13.89,0,5.56,9.68
48.78,12.2,4.88,0,0
26.36,20.5,7.95,20.08,0.43
68.42,5.26,1.75,1.75,5.77
68.57,0,0,2.86,6.45
26.67,20,15.56,4.44,0
52.94,0,0,2.94,0
57.78,8.89,0,0,0
50,5.88,2.94,20.59,0
59.62,15.38,0,3.85,12.77
79.91,0,0,0.87,6.25
72.34,0,0,0,4.88
21.05,10.53,3.51,36.84,0
70.21,0,0,0,2.44
49.09,9.09,0,14.55,3.92
28.21,25.64,12.82,10.26,2.86
50,0,0,3.12,0
56.99,8.44,1.85,9.23,3.74
50,8,2,4,4.44
80.43,0,0,0,41.46
2.13,31.91,17.02,31.91,0
72.34,0,0,2.13,18.6
75,0,0,0,20.45
60.53,0,0,5.26,0
48.84,9.3,0,13.95,5.13
57.75,4.23,2.82,5.63,10.77
57.5,10,0,0,8.57
23.44,17.19,10.94,21.88,1.72
3.85,25,19.23,15.38,0
3.64,18.18,20,9.09,0
34,12,2,8,0
46.15,3.85,1.92,9.62,4.35
4.17,27.08,16.67,20.83,0
50,6.25,0,10.42,0
12.5,25,0,37.5,0
64.1,0,0,5.13,0
16,22,6,14,0
68,0,0,0,6.82
11.63,27.91,4.65,11.63,0
31.43,14.29,0,2.86,0
57.38,6.56,1.64,4.92,1.79
27.59,6.9,0,31.03,0
63.41,7.32,0,0,11.11
5.26,26.32,28.95,10.53,0
30.38,25.32,1.27,18.99,6.76
47.83,32.61,0,0,0
50,13.04,2.17,2.17,0
85.56,1.76,0.35,0.35,32.97
66,6,0,4,2.22
60,0,0,7.27,5.88
25.58,4.65,0,20.93,2.56
41.18,5.88,0,5.88,0
23.33,0,0,0,0
23.53,13.73,3.92,5.88,2.13
57.5,5,0,0,2.86
21.57,19.61,3.92,3.92,0
44.44,0,0,0,3.23
38.71,0,0,0,0
35.29,7.84,0,19.61,2.13
17.39,19.57,0,21.74,0
57.89,10.53,0,5.26,3.12
40.91,6.82,0,2.27,10.53
29.03,6.45,6.45,0,0
71.05,2.63,0,0,0
61.43,8.57,0,2.86,10.77
43.14,11.76,0,15.69,2.22
21.03,9.35,0.93,50,0
50,0,0,0,0
44.44,7.94,3.17,4.76,8.62
26.19,14.29,0,11.9,2.7
64.86,0,0,0,15.15
68.09,0,0,8.51,18.6
38.24,2.94,5.88,0,0
1.89,16.98,7.55,43.4,0
30.77,10.26,0,28.21,2.86
45.83,4.58,2.08,8.75,0.42
44.83,3.45,0,6.9,0
12.77,12.77,2.13,27.66,0
31.82,13.64,4.55,13.64,0
25,10,7.5,2.5,0
23.08,10.26,7.69,7.69,0
63.33,0,0,5,22.22
25,22.22,0,0,0
48.72,7.69,0,0,0
40.48,0,4.76,16.67,5.26
47.37,5.26,1.75,5.26,3.77
48.57,2.86,0,5.71,0
54.84,0,0,0,0
52.94,11.76,0,23.53,0
54.29,5.71,0,14.29,12.9
35.71,7.14,0,23.81,0
68.75,0,0,4.17,9.52
56.52,4.35,0,10.87,4.88
40.91,11.36,0,6.82,0
21.05,15.79,0,28.95,2.94
61.02,6.78,3.39,3.39,3.7
34.92,12.7,0,15.87,0
45,5,0,20,0
42.86,0,0,11.9,0
31.37,19.61,1.96,17.65,2.13
31.43,0,0,20,0
66.67,0,0,3.03,7.14
37.04,0,7.41,7.41,0
47.22,2.78,0,8.33,0
33.33,10,0,10,0
54.55,9.09,0,0,3.7
68.63,3.53,0.39,7.45,7.57
63.04,2.17,0,2.17,19.51
47.06,0,0,0,6.9
56.37,7.64,0.64,20.06,3.25
49.7,7.88,2.42,10.91,2.5
66.67,0,0,0,0
41.75,14.24,2.59,13.92,1.32
36.11,0,0,5.56,0
30.3,12.12,0,0,0
59.38,12.5,0,0,0
25.59,14.17,1.97,35.04,0.4
74.84,1.29,0.97,1.94,4.26
42,6,0,10,6.82
